abbreviation,population,smiles
EtO2CHN,1,['*NC(=O)OCC']
(H4NO)2,1,['*NOON']
N(SO2CH3)2,1,['*N(S(C)(=O)=O)S(C)(=O)=O']
(H3C)2N,1,['*N(C)C']
O(H),1,['*O*']
H37C18,1,['*CCC*']
CF3CH2,1,['*CC(F)(F)F']
NH3Cl,1,['*NCl']
SO3-,1,['*S(=O)(=O)[O-]']
C6H13,1,['*CCCCCC']
OCH,1,['*O*(*)*']
CH2CH2CH2C,1,['*CCCC*']
CH2CH2CH2,1,['*CCC*']
MeOOC,1,['*C(=O)OC']
CH2O,1,['*CO*']
OCH2CHOHCH2OH,1,['*OCC(O)CO']
SO2(CH2)3SO2NHCH2CHCH2OH,1,['*C(CO)CNS(=O)(=O)CCCS(*)(=O)=O']
CF2CF2H,1,['*C(F)(F)C(F)F']
MeNH,1,['*NC']
C18H37HNOC,1,['*CCCCCC*']
OCH2CH2OCH3,1,['*OCCOC']
H5C2O,1,['*OCC']
CH3CH2CH2,1,['*CCC']
OCH2CN,1,['*OCC#N']
EtHN,1,['*NCC']
CH3CH2,1,['*CC']
H3CO2C,1,['*C(=O)OC']
(CH3)3C,1,['*CC(C)C']
OCCl3,1,['*OC(Cl)(Cl)Cl']
